Split,Random_Seed,Output,Model,MSE,RMSE,MAE,R2
2,671156,flow,LightGBM,0.0035088513897028753,0.05923555849068088,0.04639449124413089,0.9477544160776885
2,671156,lv,Linear Regression,1.0247581839891857,1.0123034051059918,0.7029304029606158,0.191126726809568
2,671156,lv,Ridge Regression,1.0247585202984841,1.0123035712168975,0.7029468820252049,0.19112646135025557
2,671156,lv,Lasso Regression,1.1270532520254828,1.061627642832214,0.7776257822374639,0.11038207133226108
2,671156,lv,ElasticNet,1.0720019102963945,1.0353752509580256,0.7413404009506596,0.153835795024018
2,671156,lv,Decision Tree,0.10841654031787902,0.3292666705238765,0.20863359907955123,0.9144234774554084
2,671156,lv,Random Forest,0.02682275825525395,0.16377654977210243,0.10400172900765171,0.9788279687784841
2,671156,lv,Extra Trees,9.422164466714419e-31,9.706783435677557e-16,6.630258809581029e-17,1.0
2,671156,lv,Gradient Boosting,0.2864065474764869,0.5351696436425434,0.3817364695404682,0.7739304695097496
2,671156,lv,AdaBoost,0.9259600122987076,0.962268160285223,0.8409945287190632,0.26911117403731577
2,671156,lv,Hist Gradient Boosting,0.08524916045207492,0.29197458870948845,0.20777081089808544,0.9327102056573242
2,671156,lv,KNN,0.1390681533666388,0.37291842722858143,0.23527769331384135,0.8902292129326296
2,671156,lv,SVR,0.6027285067826972,0.7763559150175241,0.43988539843230245,0.5242477808485141
2,671156,lv,Bagging,0.026922670533933078,0.16408129245570038,0.10351177293135312,0.9787491049322131
2,671156,lv,MLP Neural Network,0.18548467145729655,0.43067931394170367,0.30210517451509256,0.8535912221317778
2,671156,lv,XGBoost,0.015336596727765363,0.12384101391609068,0.08840364987785167,0.9878943506979397
2,671156,lv,LightGBM,0.08719073913813585,0.29528078017056214,0.20747512949267294,0.9311776576557682
3,131933,tmp,Linear Regression,0.0038868901703358848,0.062344928986533335,0.044139647408132504,0.5197168682691223
3,131933,tmp,Ridge Regression,0.0038868907238978176,0.06234493342604367,0.04413994120257323,0.5197167998683065
3,131933,tmp,Lasso Regression,0.0044688869309738935,0.06684973396337411,0.04863989601493989,0.44780250624527995
3,131933,tmp,ElasticNet,0.0041218507857222805,0.06420164161236284,0.04607750083294166,0.49068398716215744
3,131933,tmp,Decision Tree,0.00014402194898421294,0.012000914506162143,0.0061302400920132645,0.9822039446280147
3,131933,tmp,Random Forest,2.8053139241839254e-05,0.005296521428431991,0.0022931811809580108,0.996533617113038
3,131933,tmp,Extra Trees,1.4617853206280404e-32,1.20904314258344e-16,7.985447451031526e-17,1.0
3,131933,tmp,Gradient Boosting,0.0004249345146049082,0.020613939812779803,0.012881937400183823,0.947493016135995
3,131933,tmp,AdaBoost,0.0018441810253788202,0.04294392885355065,0.03866487589818532,0.7721239861348949
3,131933,tmp,Hist Gradient Boosting,6.09508088754636e-05,0.00780709990172174,0.004889261337236353,0.9924686203917853
3,131933,tmp,KNN,0.00017683390384775399,0.013297890954875288,0.005889804931881805,0.978149539242356
3,131933,tmp,SVR,0.0008944838438874989,0.029907922761159774,0.01533801813933682,0.8894732078864381
